x y tempo temperatura
0.000000 0.000000 0.000000 98.106979
0.000000 1.000000 0.000000 96.184349
0.000000 0.985507 0.000000 97.254272
0.000000 0.971014 0.000000 98.189224
0.000000 0.956522 0.000000 99.001907
0.000000 0.942029 0.000000 99.703758
0.000000 0.927536 0.000000 100.305466
0.000000 0.913043 0.000000 100.816635
0.000000 0.898551 0.000000 101.246071
0.000000 0.884058 0.000000 101.601875
0.000000 0.869565 0.000000 101.891388
0.000000 0.855072 0.000000 102.121323
0.000000 0.840580 0.000000 102.297882
0.000000 0.826087 0.000000 102.426620
0.000000 0.811594 0.000000 102.512802
0.000000 0.797101 0.000000 102.561058
0.000000 0.782609 0.000000 102.575668
0.000000 0.768116 0.000000 102.560677
0.000000 0.753623 0.000000 102.519608
0.000000 0.739130 0.000000 102.455750
0.000000 0.724638 0.000000 102.372108
0.000000 0.710145 0.000000 102.271439
0.000000 0.695652 0.000000 102.156197
0.000000 0.681159 0.000000 102.028633
0.000000 0.666667 0.000000 101.890800
0.000000 0.652174 0.000000 101.744606
0.000000 0.637681 0.000000 101.591675
0.000000 0.623188 0.000000 101.433548
0.000000 0.608696 0.000000 101.271622
0.000000 0.594203 0.000000 101.107101
0.000000 0.579710 0.000000 100.941101
0.000000 0.565217 0.000000 100.774635
0.000000 0.550725 0.000000 100.608635
0.000000 0.536232 0.000000 100.443863
0.000000 0.521739 0.000000 100.281067
0.000000 0.507246 0.000000 100.120926
0.000000 0.492754 0.000000 99.963974
0.000000 0.478261 0.000000 99.810745
0.000000 0.463768 0.000000 99.661697
0.000000 0.449275 0.000000 99.517273
0.000000 0.434783 0.000000 99.377769
0.000000 0.420290 0.000000 99.243561
0.000000 0.405797 0.000000 99.114914
0.000000 0.391304 0.000000 98.992081
0.000000 0.376812 0.000000 98.875275
0.000000 0.362319 0.000000 98.764687
0.000000 0.347826 0.000000 98.660477
0.000000 0.333333 0.000000 98.562759
0.000000 0.318841 0.000000 98.471664
0.000000 0.304348 0.000000 98.387276
0.000000 0.289855 0.000000 98.309677
0.000000 0.275362 0.000000 98.238861
0.000000 0.260870 0.000000 98.174896
0.000000 0.246377 0.000000 98.117775
0.000000 0.231884 0.000000 98.067482
0.000000 0.217391 0.000000 98.023972
0.000000 0.202899 0.000000 97.987213
0.000000 0.188406 0.000000 97.957123
0.000000 0.173913 0.000000 97.933609
0.000000 0.159420 0.000000 97.916580
0.000000 0.144928 0.000000 97.905884
0.000000 0.130435 0.000000 97.901382
0.000000 0.115942 0.000000 97.902893
0.000000 0.101449 0.000000 97.910263
0.000000 0.086957 0.000000 97.923294
0.000000 0.072464 0.000000 97.941742
0.000000 0.057971 0.000000 97.965408
0.000000 0.043478 0.000000 97.994019
0.000000 0.028986 0.000000 98.027344
0.000000 0.014493 0.000000 98.065094
0.000000 0.995984 0.000000 96.495132
0.000000 0.991968 0.000000 96.794762
0.000000 0.987952 0.000000 97.083633
0.000000 0.983936 0.000000 97.361946
0.000000 0.979920 0.000000 97.630005
0.000000 0.975904 0.000000 97.888077
0.000000 0.971888 0.000000 98.136505
0.000000 0.967871 0.000000 98.375412
0.000000 0.963855 0.000000 98.605194
0.000000 0.959839 0.000000 98.826027
0.000000 0.955823 0.000000 99.038147
0.000000 0.951807 0.000000 99.241829
0.000000 0.947791 0.000000 99.437271
0.000000 0.943775 0.000000 99.624718
0.000000 0.939759 0.000000 99.804337
0.000000 0.935743 0.000000 99.976456
0.000000 0.931727 0.000000 100.141190
0.000000 0.927711 0.000000 100.298782
0.000000 0.923695 0.000000 100.449394
0.000000 0.919679 0.000000 100.593269
0.000000 0.915663 0.000000 100.730537
0.000000 0.911647 0.000000 100.861443
0.000000 0.907631 0.000000 100.986160
0.000000 0.903614 0.000000 101.104782
0.000000 0.899598 0.000000 101.217590
0.000000 0.895582 0.000000 101.324692
0.000000 0.891566 0.000000 101.426254
0.000000 0.887550 0.000000 101.522469
0.000000 0.883534 0.000000 101.613434
0.000000 0.879518 0.000000 101.699364
0.000000 0.875502 0.000000 101.780342
0.000000 0.871486 0.000000 101.856567
0.000000 0.867470 0.000000 101.928139
0.000000 0.863454 0.000000 101.995232
0.000000 0.859438 0.000000 102.057938
0.000000 0.855422 0.000000 102.116440
0.000000 0.851406 0.000000 102.170815
0.000000 0.847390 0.000000 102.221176
0.000000 0.843373 0.000000 102.267715
0.000000 0.839357 0.000000 102.310501
0.000000 0.835341 0.000000 102.349640
0.000000 0.831325 0.000000 102.385254
0.000000 0.827309 0.000000 102.417496
0.000000 0.823293 0.000000 102.446411
0.000000 0.819277 0.000000 102.472122
0.000000 0.815261 0.000000 102.494766
0.000000 0.811245 0.000000 102.514389
0.000000 0.807229 0.000000 102.531113
0.000000 0.803213 0.000000 102.545044
0.000000 0.799197 0.000000 102.556252
0.000000 0.795181 0.000000 102.564819
0.000000 0.791165 0.000000 102.570869
0.000000 0.787149 0.000000 102.574463
0.000000 0.783133 0.000000 102.575706
0.000000 0.779116 0.000000 102.574631
0.000000 0.775100 0.000000 102.571365
0.000000 0.771084 0.000000 102.565979
0.000000 0.767068 0.000000 102.558540
0.000000 0.763052 0.000000 102.549103
0.000000 0.759036 0.000000 102.537773
0.000000 0.755020 0.000000 102.524590
0.000000 0.751004 0.000000 102.509666
0.000000 0.746988 0.000000 102.492996
0.000000 0.742972 0.000000 102.474724
0.000000 0.738956 0.000000 102.454849
0.000000 0.734940 0.000000 102.433472
0.000000 0.730924 0.000000 102.410637
0.000000 0.726908 0.000000 102.386429
0.000000 0.722892 0.000000 102.360840
0.000000 0.718876 0.000000 102.333984
0.000000 0.714859 0.000000 102.305893
0.000000 0.710843 0.000000 102.276634
0.000000 0.706827 0.000000 102.246262
0.000000 0.702811 0.000000 102.214790
0.000000 0.698795 0.000000 102.182304
0.000000 0.694779 0.000000 102.148842
