x	y	t	temp
3.405797183513641357e-01	6.360183358192443848e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.739130467176437378e-01	3.222410082817077637e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.782608747482299805e-01	5.481606721878051758e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.913043439388275146e-01	2.218322455883026123e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.217391252517700195e-01	6.234672069549560547e-01	0.000000000000000000e+00	5.000000000000000000e-01
8.985507488250732422e-01	3.724453449249267578e-01	0.000000000000000000e+00	5.000000000000000000e-01
9.863930940628051758e-01	9.219488501548767090e-01	0.000000000000000000e+00	5.000000000000000000e-01
2.681159377098083496e-01	6.611204743385314941e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.130434691905975342e-01	6.360183358192443848e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.710144996643066406e-01	9.623467326164245605e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.260869681835174561e-01	5.607117414474487305e-01	0.000000000000000000e+00	5.000000000000000000e-01
2.354841865599155426e-02	2.754189670085906982e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.478260934352874756e-01	1.465256959199905396e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.724637508392333984e-01	8.619379997253417969e-01	0.000000000000000000e+00	5.000000000000000000e-01
8.115941882133483887e-01	2.971388101577758789e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.362318754196166992e-01	3.473431766033172607e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.043478429317474365e-01	2.469344288110733032e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.927536249160766602e-01	1.214235052466392517e-01	0.000000000000000000e+00	5.000000000000000000e-01
8.333333134651184082e-01	2.594855129718780518e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.000000000000000000e-01	4.100986421108245850e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.246377319097518921e-02	3.222410082817077637e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.086956560611724854e-01	5.858139395713806152e-01	0.000000000000000000e+00	5.000000000000000000e-01
2.536231875419616699e-01	6.611204743385314941e-01	0.000000000000000000e+00	5.000000000000000000e-01
9.420289993286132812e-01	6.987737417221069336e-01	0.000000000000000000e+00	5.000000000000000000e-01
6.086956858634948730e-01	7.991825342178344727e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.739130467176437378e-01	2.218322455883026123e-01	0.000000000000000000e+00	5.000000000000000000e-01
9.347826242446899414e-01	6.862226724624633789e-01	0.000000000000000000e+00	5.000000000000000000e-01
9.057971239089965820e-01	9.623467326164245605e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.217391252517700195e-01	6.987738013267517090e-01	0.000000000000000000e+00	5.000000000000000000e-01
9.491410851478576660e-01	3.598167300224304199e-01	0.000000000000000000e+00	5.000000000000000000e-01
6.376811861991882324e-01	2.218322455883026123e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.014492735266685486e-01	8.995912671089172363e-01	0.000000000000000000e+00	5.000000000000000000e-01
9.557394385337829590e-01	9.562168270349502563e-02	0.000000000000000000e+00	5.000000000000000000e-01
2.463768124580383301e-01	5.983650088310241699e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.000000000000000000e-01	1.255109254270792007e-02	0.000000000000000000e+00	5.000000000000000000e-01
5.072463750839233398e-01	3.724453747272491455e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.901238799095153809e-01	3.377805277705192566e-02	0.000000000000000000e+00	5.000000000000000000e-01
4.637681245803833008e-01	5.732628703117370605e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.927535951137542725e-01	7.121925801038742065e-02	0.000000000000000000e+00	5.000000000000000000e-01
