Node Set: Left
0.0 0.0 0.0
0.0 1.0 0.0
0.0 0.9855072498321533 0.0
0.0 0.9710144996643066 0.0
0.0 0.95652174949646 0.0
0.0 0.9420289993286133 0.0
0.0 0.9275362491607666 0.0
0.0 0.9130434989929199 0.0
0.0 0.8985507488250732 0.0
0.0 0.8840579986572266 0.0
0.0 0.8695651888847351 0.0
0.0 0.8550724387168884 0.0
0.0 0.8405796885490417 0.0
0.0 0.8260869383811951 0.0
0.0 0.8115941882133484 0.0
0.0 0.7971014380455017 0.0
0.0 0.782608687877655 0.0
0.0 0.7681159377098083 0.0
0.0 0.7536231875419617 0.0
0.0 0.739130437374115 0.0
0.0 0.7246376872062683 0.0
0.0 0.7101449370384216 0.0
0.0 0.695652186870575 0.0
0.0 0.6811594367027283 0.0
0.0 0.6666666865348816 0.0
0.0 0.6521739363670349 0.0
0.0 0.6376811861991882 0.0
0.0 0.6231883764266968 0.0
0.0 0.6086956262588501 0.0
0.0 0.5942028760910034 0.0
0.0 0.5797101259231567 0.0
0.0 0.5652173757553101 0.0
0.0 0.5507246255874634 0.0
0.0 0.5362318754196167 0.0
0.0 0.52173912525177 0.0
0.0 0.5072463750839233 0.0
0.0 0.49275362491607666 0.0
0.0 0.47826087474823 0.0
0.0 0.4637681245803833 0.0
0.0 0.4492753744125366 0.0
0.0 0.43478259444236755 0.0
0.0 0.4202898442745209 0.0
0.0 0.4057970941066742 0.0
0.0 0.3913043439388275 0.0
0.0 0.37681159377098083 0.0
0.0 0.36231884360313416 0.0
0.0 0.3478260934352875 0.0
0.0 0.3333333432674408 0.0
0.0 0.3188405930995941 0.0
0.0 0.30434781312942505 0.0
0.0 0.28985506296157837 0.0
0.0 0.2753623127937317 0.0
0.0 0.260869562625885 0.0
0.0 0.24637681245803833 0.0
0.0 0.23188406229019165 0.0
0.0 0.21739129722118378 0.0
0.0 0.2028985470533371 0.0
0.0 0.18840579688549042 0.0
0.0 0.17391304671764374 0.0
0.0 0.15942029654979706 0.0
0.0 0.14492753148078918 0.0
0.0 0.1304347813129425 0.0
0.0 0.11594203114509583 0.0
0.0 0.10144927352666855 0.0
0.0 0.08695652335882187 0.0
0.0 0.07246376574039459 0.0
0.0 0.05797101557254791 0.0
0.0 0.043478261679410934 0.0
0.0 0.028985507786273956 0.0
0.0 0.014492753893136978 0.0

Node Set: Up
0.0 1.0 0.0
1.0 1.0 0.0
0.9855072498321533 1.0 0.0
0.9710144996643066 1.0 0.0
0.95652174949646 1.0 0.0
0.9420289993286133 1.0 0.0
0.9275362491607666 1.0 0.0
0.9130434989929199 1.0 0.0
0.8985507488250732 1.0 0.0
0.8840579986572266 1.0 0.0
0.8695651888847351 1.0 0.0
0.8550724387168884 1.0 0.0
0.8405796885490417 1.0 0.0
0.8260869383811951 1.0 0.0
0.8115941882133484 1.0 0.0
0.7971014380455017 1.0 0.0
0.782608687877655 1.0 0.0
0.7681159377098083 1.0 0.0
0.7536231875419617 1.0 0.0
0.739130437374115 1.0 0.0
0.7246376872062683 1.0 0.0
0.7101449370384216 1.0 0.0
0.695652186870575 1.0 0.0
0.6811594367027283 1.0 0.0
0.6666666865348816 1.0 0.0
0.6521739363670349 1.0 0.0
0.6376811861991882 1.0 0.0
0.6231883764266968 1.0 0.0
0.6086956262588501 1.0 0.0
0.5942028760910034 1.0 0.0
0.5797101259231567 1.0 0.0
0.5652173757553101 1.0 0.0
0.5507246255874634 1.0 0.0
0.5362318754196167 1.0 0.0
0.52173912525177 1.0 0.0
0.5072463750839233 1.0 0.0
0.49275362491607666 1.0 0.0
0.47826087474823 1.0 0.0
0.4637681245803833 1.0 0.0
0.4492753744125366 1.0 0.0
0.43478259444236755 1.0 0.0
0.4202898442745209 1.0 0.0
0.4057970941066742 1.0 0.0
0.3913043439388275 1.0 0.0
0.37681159377098083 1.0 0.0
0.36231884360313416 1.0 0.0
0.3478260934352875 1.0 0.0
0.3333333432674408 1.0 0.0
0.3188405930995941 1.0 0.0
0.30434781312942505 1.0 0.0
0.28985506296157837 1.0 0.0
0.2753623127937317 1.0 0.0
0.260869562625885 1.0 0.0
0.24637681245803833 1.0 0.0
0.23188406229019165 1.0 0.0
0.21739129722118378 1.0 0.0
0.2028985470533371 1.0 0.0
0.18840579688549042 1.0 0.0
0.17391304671764374 1.0 0.0
0.15942029654979706 1.0 0.0
0.14492753148078918 1.0 0.0
0.1304347813129425 1.0 0.0
0.11594203114509583 1.0 0.0
0.10144927352666855 1.0 0.0
0.08695652335882187 1.0 0.0
0.07246376574039459 1.0 0.0
0.05797101557254791 1.0 0.0
0.043478261679410934 1.0 0.0
0.028985507786273956 1.0 0.0
0.014492753893136978 1.0 0.0

Node Set: Down
0.0 0.0 0.0
1.0 0.0 0.0
0.014492753893136978 0.0 0.0
0.028985507786273956 0.0 0.0
0.043478261679410934 0.0 0.0
0.05797101557254791 0.0 0.0
0.07246376574039459 0.0 0.0
0.08695652335882187 0.0 0.0
0.10144927352666855 0.0 0.0
0.11594203114509583 0.0 0.0
0.1304347813129425 0.0 0.0
0.14492753148078918 0.0 0.0
0.15942029654979706 0.0 0.0
0.17391304671764374 0.0 0.0
0.18840579688549042 0.0 0.0
0.2028985470533371 0.0 0.0
0.21739129722118378 0.0 0.0
0.23188406229019165 0.0 0.0
0.24637681245803833 0.0 0.0
0.260869562625885 0.0 0.0
0.2753623127937317 0.0 0.0
0.28985506296157837 0.0 0.0
0.30434781312942505 0.0 0.0
0.3188405930995941 0.0 0.0
0.3333333432674408 0.0 0.0
0.3478260934352875 0.0 0.0
0.36231884360313416 0.0 0.0
0.37681159377098083 0.0 0.0
0.3913043439388275 0.0 0.0
0.4057970941066742 0.0 0.0
0.4202898442745209 0.0 0.0
0.43478259444236755 0.0 0.0
0.4492753744125366 0.0 0.0
0.4637681245803833 0.0 0.0
0.47826087474823 0.0 0.0
0.49275362491607666 0.0 0.0
0.5072463750839233 0.0 0.0
0.52173912525177 0.0 0.0
0.5362318754196167 0.0 0.0
0.5507246255874634 0.0 0.0
0.5652173757553101 0.0 0.0
0.5797101259231567 0.0 0.0
0.5942028760910034 0.0 0.0
0.6086956262588501 0.0 0.0
0.6231883764266968 0.0 0.0
0.6376811861991882 0.0 0.0
0.6521739363670349 0.0 0.0
0.6666666865348816 0.0 0.0
0.6811594367027283 0.0 0.0
0.695652186870575 0.0 0.0
0.7101449370384216 0.0 0.0
0.7246376872062683 0.0 0.0
0.739130437374115 0.0 0.0
0.7536231875419617 0.0 0.0
0.7681159377098083 0.0 0.0
0.782608687877655 0.0 0.0
0.7971014380455017 0.0 0.0
0.8115941882133484 0.0 0.0
0.8260869383811951 0.0 0.0
0.8405796885490417 0.0 0.0
0.8550724387168884 0.0 0.0
0.8695651888847351 0.0 0.0
0.8840579986572266 0.0 0.0
0.8985507488250732 0.0 0.0
0.9130434989929199 0.0 0.0
0.9275362491607666 0.0 0.0
0.9420289993286133 0.0 0.0
0.95652174949646 0.0 0.0
0.9710144996643066 0.0 0.0
0.9855072498321533 0.0 0.0

Node Set: Right
1.0 1.0 0.0
1.0 0.0 0.0
1.0 0.014492753893136978 0.0
1.0 0.028985507786273956 0.0
1.0 0.043478261679410934 0.0
