x y tempo temperatura
0.000000 0.000000 0.100000 101.272751
0.000000 1.000000 0.100000 76.349945
0.000000 0.985507 0.100000 79.492065
0.000000 0.971014 0.100000 82.219315
0.000000 0.956522 0.100000 84.580696
0.000000 0.942029 0.100000 86.621262
0.000000 0.927536 0.100000 88.381874
0.000000 0.913043 0.100000 89.899353
0.000000 0.898551 0.100000 91.206238
0.000000 0.884058 0.100000 92.331299
0.000000 0.869565 0.100000 93.299789
0.000000 0.855072 0.100000 94.133682
0.000000 0.840580 0.100000 94.852127
0.000000 0.826087 0.100000 95.471634
0.000000 0.811594 0.100000 96.006615
0.000000 0.797101 0.100000 96.469315
0.000000 0.782609 0.100000 96.870361
0.000000 0.768116 0.100000 97.218842
0.000000 0.753623 0.100000 97.522575
0.000000 0.739130 0.100000 97.788185
0.000000 0.724638 0.100000 98.021347
0.000000 0.710145 0.100000 98.226898
0.000000 0.695652 0.100000 98.408981
0.000000 0.681159 0.100000 98.571075
0.000000 0.666667 0.100000 98.716187
0.000000 0.652174 0.100000 98.846825
0.000000 0.637681 0.100000 98.965080
0.000000 0.623188 0.100000 99.072800
0.000000 0.608696 0.100000 99.171494
0.000000 0.594203 0.100000 99.262451
0.000000 0.579710 0.100000 99.346771
0.000000 0.565217 0.100000 99.425354
0.000000 0.550725 0.100000 99.499001
0.000000 0.536232 0.100000 99.568329
0.000000 0.521739 0.100000 99.633926
0.000000 0.507246 0.100000 99.696266
0.000000 0.492754 0.100000 99.755707
0.000000 0.478261 0.100000 99.812653
0.000000 0.463768 0.100000 99.867355
0.000000 0.449275 0.100000 99.920082
0.000000 0.434783 0.100000 99.971069
0.000000 0.420290 0.100000 100.020508
0.000000 0.405797 0.100000 100.068573
0.000000 0.391304 0.100000 100.115402
0.000000 0.376812 0.100000 100.161194
0.000000 0.362319 0.100000 100.206070
0.000000 0.347826 0.100000 100.250114
0.000000 0.333333 0.100000 100.293480
0.000000 0.318841 0.100000 100.336266
0.000000 0.304348 0.100000 100.378586
0.000000 0.289855 0.100000 100.420547
0.000000 0.275362 0.100000 100.462234
0.000000 0.260870 0.100000 100.503708
0.000000 0.246377 0.100000 100.545120
0.000000 0.231884 0.100000 100.586464
0.000000 0.217391 0.100000 100.627853
0.000000 0.202899 0.100000 100.669334
0.000000 0.188406 0.100000 100.710976
0.000000 0.173913 0.100000 100.752785
0.000000 0.159420 0.100000 100.794838
0.000000 0.144928 0.100000 100.837135
0.000000 0.130435 0.100000 100.879692
0.000000 0.115942 0.100000 100.922539
0.000000 0.101449 0.100000 100.965645
0.000000 0.086957 0.100000 101.009010
0.000000 0.072464 0.100000 101.052620
0.000000 0.057971 0.100000 101.096420
0.000000 0.043478 0.100000 101.140404
0.000000 0.028986 0.100000 101.184464
0.000000 0.014493 0.100000 101.228622
0.000000 0.995984 0.100000 77.265137
0.000000 0.991968 0.100000 78.145622
0.000000 0.987952 0.100000 78.992554
0.000000 0.983936 0.100000 79.806892
0.000000 0.979920 0.100000 80.589890
0.000000 0.975904 0.100000 81.342522
0.000000 0.971888 0.100000 82.065857
0.000000 0.967871 0.100000 82.760887
0.000000 0.963855 0.100000 83.428604
0.000000 0.959839 0.100000 84.070015
0.000000 0.955823 0.100000 84.686020
0.000000 0.951807 0.100000 85.277603
0.000000 0.947791 0.100000 85.845627
0.000000 0.943775 0.100000 86.391006
0.000000 0.939759 0.100000 86.914490
0.000000 0.935743 0.100000 87.417000
0.000000 0.931727 0.100000 87.899338
0.000000 0.927711 0.100000 88.362228
0.000000 0.923695 0.100000 88.806396
0.000000 0.919679 0.100000 89.232651
0.000000 0.915663 0.100000 89.641602
0.000000 0.911647 0.100000 90.034027
0.000000 0.907631 0.100000 90.410507
0.000000 0.903614 0.100000 90.771713
0.000000 0.899598 0.100000 91.118225
0.000000 0.895582 0.100000 91.450607
0.000000 0.891566 0.100000 91.769493
0.000000 0.887550 0.100000 92.075432
0.000000 0.883534 0.100000 92.368912
0.000000 0.879518 0.100000 92.650444
0.000000 0.875502 0.100000 92.920494
0.000000 0.871486 0.100000 93.179611
0.000000 0.867470 0.100000 93.428162
0.000000 0.863454 0.100000 93.666656
0.000000 0.859438 0.100000 93.895477
0.000000 0.855422 0.100000 94.115005
0.000000 0.851406 0.100000 94.325653
0.000000 0.847390 0.100000 94.527809
0.000000 0.843373 0.100000 94.721764
0.000000 0.839357 0.100000 94.907982
0.000000 0.835341 0.100000 95.086639
0.000000 0.831325 0.100000 95.258171
0.000000 0.827309 0.100000 95.422852
