x y tempo temperatura
0.700000 0.700000 0.000000 104.662788
0.700000 0.700000 0.005025 102.917847
0.700000 0.700000 0.010050 101.016159
0.700000 0.700000 0.015075 98.969254
0.700000 0.700000 0.020101 96.794037
0.700000 0.700000 0.025126 94.512817
0.700000 0.700000 0.030151 92.152756
0.700000 0.700000 0.035176 89.744949
0.700000 0.700000 0.040201 87.323349
0.700000 0.700000 0.045226 84.923096
0.700000 0.700000 0.050251 82.578796
0.700000 0.700000 0.055276 80.322540
0.700000 0.700000 0.060302 78.182281
0.700000 0.700000 0.065327 76.180527
0.700000 0.700000 0.070352 74.333275
0.700000 0.700000 0.075377 72.649788
0.700000 0.700000 0.080402 71.132751
0.700000 0.700000 0.085427 69.779198
0.700000 0.700000 0.090452 68.581421
0.700000 0.700000 0.095477 67.528336
0.700000 0.700000 0.100503 66.606995
0.700000 0.700000 0.105528 65.803421
0.700000 0.700000 0.110553 65.103683
0.700000 0.700000 0.115578 64.494720
0.700000 0.700000 0.120603 63.964390
0.700000 0.700000 0.125628 63.501884
0.700000 0.700000 0.130653 63.097775
0.700000 0.700000 0.135678 62.743835
0.700000 0.700000 0.140704 62.433029
0.700000 0.700000 0.145729 62.159309
0.700000 0.700000 0.150754 61.917595
0.700000 0.700000 0.155779 61.703419
0.700000 0.700000 0.160804 61.513161
0.700000 0.700000 0.165829 61.343620
0.700000 0.700000 0.170854 61.192123
0.700000 0.700000 0.175879 61.056374
0.700000 0.700000 0.180905 60.934460
0.700000 0.700000 0.185930 60.824730
0.700000 0.700000 0.190955 60.725784
0.700000 0.700000 0.195980 60.636372
0.700000 0.700000 0.201005 60.555489
0.700000 0.700000 0.206030 60.482224
0.700000 0.700000 0.211055 60.415810
0.700000 0.700000 0.216080 60.355568
0.700000 0.700000 0.221106 60.300934
0.700000 0.700000 0.226131 60.251354
0.700000 0.700000 0.231156 60.206341
0.700000 0.700000 0.236181 60.165558
0.700000 0.700000 0.241206 60.128593
0.700000 0.700000 0.246231 60.095108
0.700000 0.700000 0.251256 60.064846
0.700000 0.700000 0.256281 60.037506
0.700000 0.700000 0.261307 60.012840
0.700000 0.700000 0.266332 59.990650
0.700000 0.700000 0.271357 59.970726
0.700000 0.700000 0.276382 59.952873
0.700000 0.700000 0.281407 59.936916
0.700000 0.700000 0.286432 59.922729
0.700000 0.700000 0.291457 59.910130
0.700000 0.700000 0.296482 59.899021
0.700000 0.700000 0.301508 59.889263
0.700000 0.700000 0.306533 59.880756
0.700000 0.700000 0.311558 59.873367
0.700000 0.700000 0.316583 59.867050
0.700000 0.700000 0.321608 59.861671
0.700000 0.700000 0.326633 59.857189
0.700000 0.700000 0.331658 59.853508
0.700000 0.700000 0.336683 59.850567
0.700000 0.700000 0.341709 59.848297
0.700000 0.700000 0.346734 59.846664
0.700000 0.700000 0.351759 59.845589
0.700000 0.700000 0.356784 59.845032
0.700000 0.700000 0.361809 59.844948
0.700000 0.700000 0.366834 59.845306
0.700000 0.700000 0.371859 59.846054
0.700000 0.700000 0.376884 59.847168
0.700000 0.700000 0.381910 59.848606
0.700000 0.700000 0.386935 59.850357
0.700000 0.700000 0.391960 59.852386
0.700000 0.700000 0.396985 59.854652
0.700000 0.700000 0.402010 59.857140
0.700000 0.700000 0.407035 59.859859
0.700000 0.700000 0.412060 59.862728
0.700000 0.700000 0.417085 59.865807
0.700000 0.700000 0.422111 59.869026
0.700000 0.700000 0.427136 59.872375
0.700000 0.700000 0.432161 59.875858
0.700000 0.700000 0.437186 59.879452
0.700000 0.700000 0.442211 59.883129
0.700000 0.700000 0.447236 59.886921
0.700000 0.700000 0.452261 59.890770
0.700000 0.700000 0.457286 59.894699
0.700000 0.700000 0.462312 59.898685
0.700000 0.700000 0.467337 59.902725
0.700000 0.700000 0.472362 59.906815
0.700000 0.700000 0.477387 59.910927
0.700000 0.700000 0.482412 59.915066
0.700000 0.700000 0.487437 59.919243
0.700000 0.700000 0.492462 59.923424
0.700000 0.700000 0.497487 59.927620
0.700000 0.700000 0.502513 59.931828
0.700000 0.700000 0.507538 59.936028
0.700000 0.700000 0.512563 59.940212
0.700000 0.700000 0.517588 59.944405
0.700000 0.700000 0.522613 59.948582
0.700000 0.700000 0.527638 59.952717
0.700000 0.700000 0.532663 59.956848
0.700000 0.700000 0.537688 59.960930
0.700000 0.700000 0.542714 59.964981
0.700000 0.700000 0.547739 59.969013
0.700000 0.700000 0.552764 59.972992
0.700000 0.700000 0.557789 59.976913
0.700000 0.700000 0.562814 59.980812
0.700000 0.700000 0.567839 59.984619
0.700000 0.700000 0.572864 59.988380
0.700000 0.700000 0.577889 59.992081
0.700000 0.700000 0.582915 59.995724
0.700000 0.700000 0.587940 59.999275
0.700000 0.700000 0.592965 60.002781
0.700000 0.700000 0.597990 60.006180
0.700000 0.700000 0.603015 60.009514
0.700000 0.700000 0.608040 60.012756
0.700000 0.700000 0.613065 60.015915
0.700000 0.700000 0.618090 60.018974
0.700000 0.700000 0.623116 60.021935
0.700000 0.700000 0.628141 60.024796
0.700000 0.700000 0.633166 60.027550
0.700000 0.700000 0.638191 60.030197
0.700000 0.700000 0.643216 60.032726
0.700000 0.700000 0.648241 60.035145
0.700000 0.700000 0.653266 60.037445
0.700000 0.700000 0.658291 60.039627
0.700000 0.700000 0.663317 60.041683
0.700000 0.700000 0.668342 60.043587
0.700000 0.700000 0.673367 60.045372
0.700000 0.700000 0.678392 60.047020
0.700000 0.700000 0.683417 60.048515
0.700000 0.700000 0.688442 60.049858
0.700000 0.700000 0.693467 60.051090
0.700000 0.700000 0.698492 60.052132
0.700000 0.700000 0.703518 60.053032
0.700000 0.700000 0.708543 60.053772
0.700000 0.700000 0.713568 60.054337
0.700000 0.700000 0.718593 60.054768
0.700000 0.700000 0.723618 60.054993
0.700000 0.700000 0.728643 60.055054
0.700000 0.700000 0.733668 60.054962
0.700000 0.700000 0.738693 60.054649
0.700000 0.700000 0.743719 60.054176
0.700000 0.700000 0.748744 60.053528
0.700000 0.700000 0.753769 60.052670
0.700000 0.700000 0.758794 60.051632
0.700000 0.700000 0.763819 60.050369
0.700000 0.700000 0.768844 60.048920
0.700000 0.700000 0.773869 60.047256
0.700000 0.700000 0.778894 60.045422
0.700000 0.700000 0.783920 60.043343
0.700000 0.700000 0.788945 60.041069
0.700000 0.700000 0.793970 60.038567
0.700000 0.700000 0.798995 60.035851
0.700000 0.700000 0.804020 60.032917
0.700000 0.700000 0.809045 60.029755
0.700000 0.700000 0.814070 60.026360
0.700000 0.700000 0.819095 60.022728
0.700000 0.700000 0.824121 60.018867
0.700000 0.700000 0.829146 60.014771
0.700000 0.700000 0.834171 60.010437
0.700000 0.700000 0.839196 60.005856
0.700000 0.700000 0.844221 60.001034
0.700000 0.700000 0.849246 59.995960
0.700000 0.700000 0.854271 59.990654
0.700000 0.700000 0.859297 59.985065
0.700000 0.700000 0.864322 59.979237
0.700000 0.700000 0.869347 59.973145
0.700000 0.700000 0.874372 59.966778
0.700000 0.700000 0.879397 59.960167
0.700000 0.700000 0.884422 59.953297
0.700000 0.700000 0.889447 59.946136
0.700000 0.700000 0.894472 59.938705
0.700000 0.700000 0.899498 59.931015
0.700000 0.700000 0.904523 59.923042
0.700000 0.700000 0.909548 59.914799
0.700000 0.700000 0.914573 59.906258
0.700000 0.700000 0.919598 59.897461
0.700000 0.700000 0.924623 59.888344
0.700000 0.700000 0.929648 59.878967
0.700000 0.700000 0.934673 59.869301
0.700000 0.700000 0.939699 59.859322
0.700000 0.700000 0.944724 59.849072
0.700000 0.700000 0.949749 59.838509
0.700000 0.700000 0.954774 59.827660
0.700000 0.700000 0.959799 59.816528
0.700000 0.700000 0.964824 59.805084
0.700000 0.700000 0.969849 59.793335
0.700000 0.700000 0.974874 59.781265
0.700000 0.700000 0.979900 59.768906
0.700000 0.700000 0.984925 59.756241
0.700000 0.700000 0.989950 59.743263
0.700000 0.700000 0.994975 59.729988
0.700000 0.700000 1.000000 59.716370
